recipe_name,tag,image_url,recipe_url,page
Tiramisu mangue-coco,DESSERTS,https://assets.magimix.com/files/rec_48893/avatar_tiramisu-mango-coco-avatar.jpg,https://www.magimix.fr/recettes/tiramisu-mangue-coco_c,1
Velouté carottes et châtaignes,SOUPES,https://assets.magimix.com/files/rec_98290/avatar_carotte-chataigne-avatar.jpg,https://www.magimix.fr/recettes/veloute-carottes-et-chataignes,1
Glace à la vanille,GLACES,https://assets.magimix.com/files/rec_198/glace vanille_avatar.jpg,https://www.magimix.fr/recettes/glace-a-la-vanille,1
Muffins poulet-basilic-tomates,APÉRITIFS,https://assets.magimix.com/files/rec_25699/avatar_muffin-poulet-avatar.jpg,https://www.magimix.fr/recettes/muffins-poulet-basilic_c,1
Pesto de basilic,SAUCES,https://assets.magimix.com/files/rec_30596/avatar_pesto-basil-avatar.jpg,https://www.magimix.fr/recettes/pesto-de-basilic_b,1
Velouté spécial bébé,BÉBÉS,https://assets.magimix.com/files/rec_32900/avatar_soupe-courgebb-avatar.jpg,https://www.magimix.fr/recettes/veloute-spcial-bebe_c,1
Risotto morilles et truffes,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_30146/avatar_risotto-truffes-avatar.jpg,https://www.magimix.fr/recettes/risotto-morilles-et-truffes_c,1
Rösti de pomme de terre,LÉGUMES,https://assets.magimix.com/files/rec_37756/avatar_rosti-pdt-avatar.jpg,https://www.magimix.fr/recettes/rosti-de-pomme-de-terre_r,1
Gâteau aux fraises,DESSERTS,https://assets.magimix.com/files/rec_42347/avatar_avatar gateau fraises.jpg,https://www.magimix.fr/recettes/gateau-aux-fraises_r,1
Focaccia flower,BOULANGERIE,https://assets.magimix.com/files/rec_84028/avatar_foccacia (2).jpg,https://www.magimix.fr/recettes/focaccia-flower_r,1
Gâteau aux trois laits,DESSERTS,https://assets.magimix.com/files/rec_55656/avatar_tres leche.jpg,https://www.magimix.fr/recettes/gateau-aux-trois-laits_b,1
Curry au poulet facile,VIANDES,https://assets.magimix.com/files/rec_62799/RECIPE AVATAR (1).jpg,https://www.magimix.fr/recettes/curry-au-poulet-facile_c,1
Glace coco-cardamome,GLACES,https://assets.magimix.com/files/rec_53390/format recepten magimix - kademomijs.jpg,https://www.magimix.fr/recettes/glace-coco-cardamome_g,1
Sorbet au melon,GLACES,https://assets.magimix.com/files/rec_46906/format recepten magimix - kademomijs (1).jpg,https://www.magimix.fr/recettes/sorbet-au-melon_g,1
Yaourt glacé,GLACES,https://assets.magimix.com/files/rec_73040/avatar_Yoghurtijs zelf maken (frozen yoghurt) (1).jpg,https://www.magimix.fr/recettes/yaourt-glace_g,1
Gelée de poivron,SAUCES,https://assets.magimix.com/files/rec_98808/avatar_jam (1).jpg,https://www.magimix.fr/recettes/gelee-poivron-c,2
Houmous aux fanes de carottes,APÉRITIFS,https://assets.magimix.com/files/rec_88754/avatar_houmous-fanes-avatar.jpg,https://www.magimix.fr/recettes/houmous-aux-fanes-de-carottes_c,2
Soupe aux raviolis chinois,SOUPES,https://assets.magimix.com/files/rec_18449/avatar_soupe-ravioli-avatar.jpg,https://www.magimix.fr/recettes/soupe-aux-raviolis-chinois_c,2
Cheesecake à la mangue,DESSERTS,https://assets.magimix.com/files/rec_76048/Copy of RECIPE AVATAR (1).jpg,https://www.magimix.fr/recettes/cheesecake-mangue_r,2
Cupcakes à la crème,DESSERTS,https://assets.magimix.com/files/rec_57423/avatar_cupcake-creme-avatar.jpg,https://www.magimix.fr/recettes/cupcakes-a-la-creme,2
Frittata à la caprésé,VÉGÉTARIENS,https://assets.magimix.com/files/rec_54034/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/caprese-frittata_c,2
Daquiri à la fraise,BOISSONS,https://assets.magimix.com/files/rec_40566/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/daquiri-la-fraise_b,2
Glace au chocolat blanc et macadamia,GLACES,https://assets.magimix.com/files/rec_75978/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/glace-au-chocolat-blanc-et-macadamia_g,2
Soupe aux tomates,SOUPES,https://assets.magimix.com/files/rec_545/avatar_RECIPE AVATAR.jpg,https://www.magimix.fr/recettes/soupe-aux-tomates-c,2
Velouté de carottes au pain d'épices,SOUPES,https://assets.magimix.com/files/rec_66963/avatar_veloute-carotte-epices-avatar.jpg,https://www.magimix.fr/recettes/veloute-de-carottes-au-pain-depices,2
Quiche au brocoli et poulet,VIANDES,https://assets.magimix.com/files/rec_44821/avatar_quiche-broco-poulet-avatar.jpg,https://www.magimix.fr/recettes/quiche-au-brocoli-et-poulet_c,2
Jarret d'agneau gourmand,VIANDES,https://assets.magimix.com/files/rec_23192/avatar_roasted-lamb-avatar.jpg,https://www.magimix.fr/recettes/jarret-dagneau-gourmand_c,2
Café glacé à la grecque,BOISSONS,https://assets.magimix.com/files/rec_89446/avatar_cafe-glace.jpg,https://www.magimix.fr/recettes/cafe-glace-la-grecque_b,2
Gaspacho de carottes,SOUPES,https://assets.magimix.com/files/rec_2019/avatar_gaspacho-carrot-avatar.jpg,https://www.magimix.fr/recettes/gaspacho-de-carottes_b,2
Curry de bœuf Korma,VIANDES,https://assets.magimix.com/files/rec_28372/avatar_RECIPE AVATAR6.jpg,https://www.magimix.fr/recettes/curry-de-buf-korma_c,2
Ragoût de bœuf,VIANDES,https://assets.magimix.com/files/rec_88735/avatar_RECIPE AVATAR5.jpg,https://www.magimix.fr/recettes/ragout-de-boeuf_co,2
Glace au chèvre frais,ENTRÉES,https://assets.magimix.com/files/rec_4535/avatar_glace-chevre-avatar.jpg,https://www.magimix.fr/recettes/glace-au-chevre-frais_g,2
Taboulé turc,LÉGUMES,https://assets.magimix.com/files/rec_26994/avatar_taboule-turc-avatar.jpg,https://www.magimix.fr/recettes/taboule-turc_c,2
Poulet au miel et à l'ail,VIANDES,https://assets.magimix.com/files/rec_80419/avatar_RECIPE AVATAR3.jpg,https://www.magimix.fr/recettes/poulet-au-miel-et-lail_c,2
Poulet à la crème à la toscane,VIANDES,https://assets.magimix.com/files/rec_26517/avatar_RECIPE AVATAR2.jpg,https://www.magimix.fr/recettes/poulet-la-creme-la-toscane_c,2
Gnocchis aux brocolis,"PÂTES, RIZ, PIZZA",https://assets.magimix.com/files/rec_45446/avatar_gnocchis-brocolis-avatar.jpg,https://www.magimix.fr/recettes/gnocchis-aux-brocolis_c,2
Gâteau au fromage blanc et fruits,DESSERTS,https://assets.magimix.com/files/rec_2334/avatar_cheesecake-berry-avatar.jpg,https://www.magimix.fr/recettes/gateau-au-fromage-blanc-et-fruits_c,2
